City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
213,tra vinh,9.9347,106.3453,27.019999999999982,81,27,2.77,VN,1684949712
214,djambala,-2.5447,14.7533,24.329999999999984,73,88,1.32,CG,1684949712
215,saudarkrokur,65.7461,-19.6394,5.659999999999968,61,71,11.53,IS,1684949712
216,kemijarvi,66.7131,27.4306,12.479999999999961,67,100,5.48,FI,1684949712
217,uige,-7.6087,15.0613,22.269999999999982,70,52,0.35,AO,1684949713
218,sterling,39.0062,-77.4286,26.839999999999975,49,75,1.54,US,1684949713
219,shawano,44.7822,-88.609,16.839999999999975,34,88,5.45,US,1684949713
220,klyuchi,52.2667,79.1667,16.349999999999966,40,59,4.66,RU,1684949713
221,dunmore,41.4198,-75.6324,26.589999999999975,50,0,3.6,US,1684949713
222,pathein,16.7833,94.7333,28.00999999999999,81,23,4.55,MM,1684949714
223,saskatoon,52.1168,-106.6345,12.96999999999997,76,100,3.6,CA,1684949201
224,bakanas,44.8081,76.2772,19.20999999999998,19,6,2.96,KZ,1684949714
225,scarborough,54.2797,-0.4044,14.789999999999964,68,27,0.45,GB,1684949586
226,tiete,-23.1019,-47.7147,25.069999999999993,49,0,2.55,BR,1684949714
227,happy valley-goose bay,53.3168,-60.3315,8.149999999999977,81,100,3.6,CA,1684949714
228,kampong thom,12.7111,104.8887,27.519999999999982,73,14,0.14,KH,1684949715
229,fort bragg,35.139,-79.006,24.529999999999973,30,0,4.63,US,1684949715
230,tofol,5.3248,163.0078,27.870000000000005,76,95,4.22,FM,1684949715
231,natal,-5.795,-35.2094,31.339999999999975,58,40,6.17,BR,1684949550
232,belmonte,-15.8631,-38.8828,27.349999999999966,60,64,2.8,BR,1684949715
233,balao,-2.9167,-79.8167,26.680000000000007,82,97,2.55,EC,1684949716
234,hermanus,-34.4187,19.2345,17.089999999999975,63,6,4.75,ZA,1684949716
235,floresta,-8.6011,-38.5686,32.00999999999999,39,42,8.33,BR,1684949716
236,vilyuchinsk,52.9306,158.4028,0.12999999999999545,86,11,4.25,RU,1684949716
237,lihue,21.9789,-159.3672,24.75,82,20,6.69,US,1684949665
238,punta arenas,-53.15,-70.9167,4.990000000000009,87,75,3.09,CL,1684949717
239,cockburn town,21.4612,-71.1419,27.599999999999966,71,19,1.5,TC,1684949717
240,kodiak,57.79,-152.4072,6.7099999999999795,93,100,1.54,US,1684949717
241,bredasdorp,-34.5322,20.0403,13.539999999999964,70,5,2.17,ZA,1684949717
242,sept-iles,50.2001,-66.3821,9.449999999999989,83,75,3.6,CA,1684949718
243,mata-utu,-13.2816,-176.1745,26.94999999999999,81,93,4.81,WF,1684949723
244,taroa,8.7058,171.2275,27.70999999999998,79,100,6.67,MH,1684949723
245,nishinoomote,30.7333,131.0,21.0,55,75,5.37,JP,1684949723
246,taulaga,-11.0553,-171.0883,27.50999999999999,69,59,1.92,AS,1684949724
247,auki,-8.7676,160.7034,27.129999999999995,77,6,1.45,SB,1684949724
248,valparaiso,-33.0393,-71.6273,18.109999999999957,70,75,2.57,CL,1684949724
249,sinop,41.7711,34.8709,12.169999999999959,91,100,2.78,TR,1684949724
250,dukhan,25.4297,50.7858,31.189999999999998,51,100,3.49,QA,1684949724
251,kargopol',61.5071,38.9456,14.050000000000011,94,100,1.12,RU,1684949725
252,vennesla,58.2694,7.9741,18.659999999999968,42,0,6.69,NO,1684949725
253,anadyr,64.75,177.4833,2.259999999999991,87,75,3.0,RU,1684949725
254,plettenberg bay,-34.0527,23.3716,15.849999999999966,66,3,0.17,ZA,1684949725
255,aral,40.5156,81.2636,20.96999999999997,26,100,7.36,CN,1684949725
256,santanyi,39.3546,3.1291,22.829999999999984,70,68,0.98,ES,1684949725
257,vila velha,-20.3297,-40.2925,25.94999999999999,75,40,4.63,BR,1684949726
258,carbonear,47.7332,-53.2148,13.169999999999959,76,1,2.54,CA,1684949726
259,funadhoo,6.15,73.2667,29.060000000000002,73,10,3.16,MV,1684949726
260,pinhao,-25.6956,-51.6597,21.870000000000005,43,0,3.06,BR,1684949726
261,algona,43.07,-94.233,27.289999999999964,28,0,3.09,US,1684949726
262,sandnessjoen,66.0217,12.6316,8.269999999999982,82,75,10.29,NO,1684949727
263,santana,-0.0583,-51.1817,29.079999999999984,84,75,4.12,BR,1684949514
264,soufriere,13.8562,-61.0566,30.789999999999964,76,20,6.69,LC,1684949727
265,luderitz,-26.6481,15.1594,12.829999999999984,85,49,0.55,NA,1684949727
266,sangueya,10.7,-14.3667,30.24000000000001,61,100,4.86,GN,1684949727
267,crane,31.3974,-102.3501,27.829999999999984,54,25,6.66,US,1684949727
268,longyearbyen,78.2186,15.6401,3.8899999999999864,70,75,11.83,SJ,1684949727
269,nyurba,63.2842,118.3319,2.7199999999999704,61,83,2.24,RU,1684949727
270,portland,45.5234,-122.6762,18.310000000000002,67,75,2.06,US,1684949686
271,remire-montjoly,4.9167,-52.2667,30.0,66,20,5.14,GF,1684949491
272,khuzdar,27.7384,66.6434,28.97999999999996,17,1,2.01,PK,1684949728
273,taco pozo,-25.6167,-63.2833,28.75999999999999,56,65,6.73,AR,1684949728
274,dehdasht,30.7949,50.5646,29.329999999999984,12,49,1.02,IR,1684949728
275,manbij,36.5281,37.9549,22.659999999999968,33,45,3.39,SY,1684949728
276,mili,6.0815,171.735,27.779999999999973,76,100,4.64,MH,1684949728
277,berriane,32.8265,3.7669,28.430000000000007,21,58,8.0,DZ,1684949728
278,guane,22.2025,-84.0875,31.109999999999957,51,31,2.15,CU,1684949729
279,hamilton,39.1834,-84.5333,29.00999999999999,41,0,3.09,US,1684949719
280,taiynsha,53.8478,69.7639,17.069999999999993,42,27,3.31,KZ,1684949729
281,zapolyarnyy,69.4154,30.8136,11.579999999999984,53,100,11.1,RU,1684949729
282,cape coast,5.1053,-1.2466,27.71999999999997,81,100,4.49,GH,1684949729
283,malmberget,67.1753,20.6549,8.289999999999964,71,20,6.69,SE,1684949729
284,bagan,54.1001,77.6646,11.789999999999964,42,41,3.31,RU,1684949729
285,north platte,41.1239,-100.7654,23.49000000000001,58,20,5.81,US,1684949729
286,port lincoln,-34.7333,135.8667,15.729999999999961,83,100,6.76,AU,1684949730
287,manamadurai,9.7,78.4833,31.189999999999998,58,63,2.51,IN,1684949730
288,kisangani,0.5167,25.2,28.909999999999968,52,80,1.06,CD,1684949730
289,celle,52.6226,10.0805,16.180000000000007,74,75,3.09,DE,1684949730
290,san luis de la loma,17.2706,-100.8939,31.97999999999996,55,80,4.31,MX,1684949730
291,pyt-yakh,60.7499,72.8582,13.449999999999989,58,100,3.71,RU,1684949730
292,ati,13.2154,18.3353,39.94,18,7,2.37,TD,1684949730
293,yemva,62.59,50.8594,17.810000000000002,55,98,2.16,RU,1684949731
294,karratha,-20.7377,116.8463,23.079999999999984,47,1,4.31,AU,1684949731
295,beas de segura,38.2524,-2.8888,17.560000000000002,67,92,2.97,ES,1684949731
296,ain sefra,32.75,-0.5833,21.269999999999982,29,58,5.57,DZ,1684949731
297,turkmenbasy,40.0222,52.9552,26.409999999999968,31,0,3.09,TM,1684949731
298,vorgashor,67.5833,63.95,9.449999999999989,81,1,4.32,RU,1684949731
299,acarau,-2.8856,-40.12,28.099999999999966,76,71,8.67,BR,1684949731
300,anloga,5.7947,0.8973,28.339999999999975,73,100,4.02,GH,1684949732
301,la passe,45.5549,-0.8967,22.109999999999957,66,100,7.55,FR,1684949732
302,kongolo,-5.3833,27.0,25.649999999999977,65,46,1.49,CD,1684949732
303,moires,35.0532,24.8744,19.49000000000001,80,54,0.89,GR,1684949732
304,nadym,65.5333,72.5167,6.659999999999968,62,89,4.39,RU,1684949732
305,gongchangling,41.1167,123.45,13.740000000000009,65,96,3.05,CN,1684949732
306,yevlakh,40.6183,47.1501,25.96999999999997,50,100,0.0,AZ,1684949732
307,shangqiu,34.45,115.65,14.079999999999984,74,4,2.45,CN,1684949732
308,arraial do cabo,-22.9661,-42.0278,25.95999999999998,61,0,7.2,BR,1684949733
309,trevelin,-43.0858,-71.4639,4.689999999999998,82,96,3.64,AR,1684949733
310,novospasskoye,53.1468,47.7514,19.060000000000002,51,30,3.21,RU,1684949733
311,ust-nera,64.5667,143.2,1.089999999999975,98,100,1.39,RU,1684949733
312,shawinigan,46.5668,-72.7491,8.269999999999982,66,100,4.63,CA,1684949733
313,ivdel',60.6911,60.4206,15.75,69,54,0.78,RU,1684949733
314,puerto cabezas,14.0351,-83.3888,30.95999999999998,79,40,3.09,NI,1684949733
315,sao joao da barra,-21.6403,-41.0511,27.029999999999973,52,24,4.76,BR,1684949733
316,jetalsar,21.7,70.5833,28.569999999999993,74,31,7.02,IN,1684949734
317,laojunmiao,39.8333,97.7333,9.279999999999973,25,97,1.57,CN,1684949734
318,uturoa,-16.7333,-151.4333,27.019999999999982,70,63,1.84,PF,1684949734
319,alghero,40.5589,8.3181,24.029999999999973,53,20,3.6,IT,1684949734
320,ancud,-41.8697,-73.8203,10.389999999999986,74,100,12.35,CL,1684949605
321,novodvinsk,64.4165,40.8122,17.00999999999999,66,54,1.76,RU,1684949734
322,san antonio de pale,-1.4014,5.6325,27.159999999999968,81,100,2.9,GQ,1684949734
323,elliot,-31.3333,27.85,11.560000000000002,41,46,5.05,ZA,1684949734
324,guiuan,11.0333,125.7247,29.060000000000002,70,78,1.52,PH,1684949735
325,dryden,49.7833,-92.7503,11.139999999999986,40,75,3.6,CA,1684949735
326,port lavaca,28.615,-96.6261,30.529999999999973,67,0,2.57,US,1684949735
327,apatity,67.5641,33.4031,15.25,61,98,6.77,RU,1684949735
